COURSECODE,COURSETITLE,DELIVERY,CLASSNUM,STATUS,DURATION,STUMAX,PRICE,CATEGORY,SUBCATEGORY
SNV10,SAN Volume Controller (SVC) V6 Planning and Implementation Workshop,CLASSROOM,M3Z4,Available           ,4,8,3315,IBM Storage and Storage Networking,Storage Networking and Storage Virtualization
STL85,Deploying and Administering Lotus Sametime 8.5.1,CLASSROOM,M020,Available           ,2,10,1200,Lotus,IBM Lotus Sametime
TN033,IBM Tivoli Netcool/OMNIbus 7.3 Administration and Maintenance,CLASSROOM,M3B7,Available           ,4,8,2400,Tivoli Network Service Assurance,Netcool/OMNIbus
TP350,IBM SmartCloud Control Desk 7.5 Foundations,CLASSROOM,MZ23,Available           ,2,8,1500,Tivoli Service Delivery and Process Automation,Service Automation Manager
TR571,IBM Maximo Asset Management 7.5 Fundamentals,CLASSROOM,M3A7,Available           ,4,8,2600,Tivoli Asset Management,Maximo Asset Management
TS612,IBM Tivoli Storage Manager 6.3 Implementation and Administration,CLASSROOM,MZ07,Available           ,5,8,3250,Tivoli Storage Management,Storage Manager
TSX12,IBM Tivoli Storage Manager 6.3 Implementation and Administration (AIX),CLASSROOM,MZ09,Available           ,5,8,3250,Tivoli Storage Management,Storage Manager
TV354,IBM Tivoli Monitoring 6.2.3 for Implementers,CLASSROOM,M289,Available           ,3,8,1800,Tivoli Service Availability and Performance Management,Monitoring
WA170,IBM WebSphere Application Server V7 Administration on AIX,CLASSROOM,M27W,Available           ,5,8,3625,WebSphere Application Server,Administration for distributed systems
WA380,WebSphere Application Server V8 Administration for Windows,CLASSROOM,MZ11,Available           ,5,8,3625,WebSphere Application Server,Administration for distributed systems
WA380,WebSphere Application Server V8 Administration for Windows,CLASSROOM,MZ12,Available           ,5,8,3625,WebSphere Application Server,Administration for distributed systems
WA380,WebSphere Application Server V8 Administration for Windows,CLASSROOM,M33U,Available           ,5,8,3625,WebSphere Application Server,Administration for distributed systems
WA572,IBM WebSphere Application Server V7 Problem Determination,CLASSROOM,M3H5,Available           ,5,8,3625,WebSphere Application Server,WebSphere Application Server Administration and Deployment - Distributed Systems
WA580,WebSphere Application Server V8 Administration for Linux,CLASSROOM,MZ13,Available           ,5,8,3625,WebSphere Application Server,Administration for distributed systems
WA580,WebSphere Application Server V8 Administration for Linux,CLASSROOM,MZ14,Available           ,5,8,3625,WebSphere Application Server,Administration for distributed systems
WA585,WebSphere Application Server V8.5 Administration,CLASSROOM,M00R,Available           ,5,10,3625,WebSphere Application Server,Administration for distributed systems
WA585,WebSphere Application Server V8.5 Administration,CLASSROOM,M01W,Available           ,5,10,3625,WebSphere Application Server,Administration for distributed systems
WB381,Developing Rule Solutions in IBM WebSphere Operational Decision Management V8,CLASSROOM,M3R0,Available           ,5,8,3875,Business Rules,WebSphere Operational Decision Management
WB802,Modeling and Implementing with IBM Business Process Manager V8,CLASSROOM,MZ16,Available           ,5,8,3875,Business Process Management,IBM Business Process Manager Express and Standard
WB851,Developing Applications for IBM Business Process Manager Advanced V8 - I,CLASSROOM,MY43,Available           ,5,12,3875,Business Process Management,IBM Business Process Manager Advanced
WE942,IBM WebSphere Cast Iron V6.1 Configuration,CLASSROOM,M3L5,Available           ,3,8,2325,Cloud Computing,Cast Iron Systems
WM203,IBM WebSphere MQ V7 System Administration (Linux labs),CLASSROOM,M306,Available           ,4,8,2400,Application Integration,WebSphere MQ
WM204,IBM WebSphere MQ V7.1 System Administration (using Windows for labs),CLASSROOM,M3D8,Available           ,4,8,2900,Application Integration,WebSphere MQ
WM300,IBM WebSphere MQ V7 System Administration for z/OS,CLASSROOM,M3S7,Available           ,4,8,2400,Application Integration,WebSphere MQ
WM663,IBM WebSphere Message Broker V7.0 Developer Workshop,CLASSROOM,M3S2,Available           ,5,8,3125,Application Integration,WebSphere Message Broker
WPL51,Developing Applications for IBM WebSphere Portal 7.0,CLASSROOM,MY16,Available           ,5,12,3500,WebSphere Portal,IBM Websphere Portal 7.0
6T746,IBM Sterling File Gateway - Managing Sterling File Gateway,CLASSROOM,M29P,Available           ,2,8,1500,Managed File Transfer,Sterling File Gateway
AS5E0,PowerVM on IBM i - I: Implementing Virtualization and LPAR,CLASSROOM,MZ18,Available           ,3,8,2235,IBM System i,System Administration for System i
AS5E0,PowerVM on IBM i - I: Implementing Virtualization and LPAR,CLASSROOM,MZ17,Available           ,3,8,2235,IBM System i,System Administration for System i
